COUNTRY,X1,Date,Total_Case_Country,Total_Death_Country,New_Case_Country,New_Death_Country,Population,Total_Case_Rate,Total_Mortality_Rate,New_Case_Rate,New_Mortality_Rate,RollingAverage_New_Case_Country,RollingAverage_New_Death_Country,RollingAverage_New_Case_Rate,RollingAverage_New_Mortality_Rate,Total_Case_Rate_Growth,Total_Mortality_Rate_Growth,New_Case_Rate_Growth,New_Mortality_Rate_Growth,C1_School.closing,C2_Workplace.closing,C3_Cancel.public.events,C4_Restrictions.on.gatherings,C5_Close.public.transport,C6_Stay.at.home.requirements,C7_Restrictions.on.internal.movement,C8_International.travel.controls,E1_Income.support,E2_Debt.contract.relief,E3_Fiscal.measures,H1_Public.information.campaigns,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,M1_Wildcard,StringencyIndex,LegacyStringencyIndex,Oxford_Cases,Oxford_Deaths,Latitude,Longitude,prop65,propurban,popdensity,driving,walking,transit,arrivals,departures,vul_emp,GNI,health_exp,pollution,EIU_Democracy,freedom_house,cellular_sub,milex,milper,irst,pec,cinc,endocrine_deaths,blood_pressure_deaths,respiratory_deaths,govt_accountability,political_stability,govt_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,isocode,patience,risktaking,posrecip,negrecip,altruism,trust,wm.trust,respiratory_deaths_rate
Argentina,119,2020-01-01,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,120,2020-01-02,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,112,2020-01-03,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,104,2020-01-04,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,23,2020-01-05,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,22,2020-01-06,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,12,2020-01-07,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,3,2020-01-08,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,1,2020-01-09,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
Argentina,26,2020-01-10,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,,,0,0,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,,,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,0.041503169,0.159679309,-0.140457273,0.027346682,-0.206733331,-0.022746338,
